Customer_ID,Age,Gender,Marital_Status,Annual_Income,Region,Customer_Risk_Score,Policy_ID,Policy_Type,Coverage_Amount,Premium_Amount,Payment_Frequency,Policy_Start_Date,Policy_Tenure_Years,Policy_End_Date,Claim_ID,Claim_Type,Incident_Date,Report_Date,Time_to_Report_Days,Prior_Claims_Count,Adjuster_ID,Provider_ID,Weather_Severity_Index,Claim_Amount,Severity_Bucket,Fraud_Flag,Lapse_Label
11,36,Male,Widowed,182050,West,0.24255581657279898,100011,Renters,55725,675.56,Yearly,2015-12-23,3,2018-12-22,500011,Theft,2022-08-23,2022-09-03,11,1,1051,2065,0.20857424210006015,22803.31,Medium,0,0
12,40,Male,Divorced,173954,South,0.41554500215551937,100012,Auto,136539,2074.46,Monthly,2021-08-15,6,2027-08-14,500012,Collision,2018-11-25,2018-12-20,25,0,1096,2093,0.33083352036364555,3947.05,Low,0,0
13,28,Male,Single,178017,West,0.14112347466390268,100013,Renters,135626,1894.99,Yearly,2019-09-25,1,2020-09-24,500013,Theft,2018-09-15,2018-09-22,7,0,1020,2042,0.7705112017283982,31784.91,High,0,0
14,28,Female,Widowed,89870,South,0.14678815168745807,100014,Auto,42532,695.17,Yearly,2015-05-11,1,2016-05-10,500014,Liability,2019-05-29,2019-06-12,14,3,1002,2133,0.9588290202567438,18946.44,Medium,0,0
15,41,Male,Divorced,179667,Midwest,0.4507008387895547,100015,Auto,55274,718.91,Quarterly,2015-05-03,7,2022-05-01,500015,Collision,2020-09-27,2020-10-05,8,2,1013,2111,0.25029420313627326,15007.02,Medium,0,0
16,70,Male,Single,127847,Midwest,0.6528269943409604,100016,Home,867759,13473.31,Yearly,2016-01-19,7,2023-01-17,500016,Fire,2021-08-31,2021-09-06,6,0,1033,2268,0.9193848810479796,77948.82,High,1,0
17,53,Male,Married,126134,Midwest,0.3544207887640387,100017,Home,489847,7851.85,Monthly,2017-06-14,8,2025-06-12,500017,Theft,2017-03-28,2017-04-19,22,1,1061,2285,0.06619816116701494,149246.92,High,0,0
18,57,Female,Widowed,196521,Northeast,0.6364893341087425,100018,Auto,21056,161.53,Quarterly,2017-08-10,7,2024-08-08,500018,Collision,2016-09-02,2016-09-16,14,0,1059,2128,0.7483472398847789,11156.3,Medium,1,0
19,41,Female,Widowed,131110,South,0.22836579001649576,100019,Renters,113276,2137.92,Monthly,2020-08-31,5,2025-08-30,500019,Liability,2020-03-07,2020-03-13,6,0,1067,2170,0.804994041264542,21167.02,Medium,0,0
20,20,Male,Married,179711,Northeast,0.0,100020,Life,559038,8871.23,Yearly,2021-10-01,7,2028-09-29,500020,Critical Illness,2018-11-29,2018-12-06,7,1,1005,2203,0.0,118971.46,High,0,0
21,39,Male,Single,101918,South,0.07674185822540745,100021,Renters,148006,954.9,Yearly,2015-04-19,2,2017-04-18,500021,Theft,2021-09-09,2021-09-16,7,0,1085,2080,0.26233387403170094,31747.35,High,0,0
22,70,Female,Married,33159,Midwest,1.0,100022,Auto,68556,1228.05,Monthly,2021-04-17,7,2028-04-15,500022,Collision,2019-12-22,2019-12-28,6,0,1038,2206,0.3934338416619456,32944.24,High,0,0
23,19,Female,Widowed,101192,Northeast,0.09853096097909805,100023,Life,490313,3854.47,Yearly,2017-03-25,6,2023-03-24,500023,Death,2017-05-22,2017-06-01,10,1,1051,2042,0.0,39344.76,High,0,0
24,41,Female,Divorced,96988,Northeast,0.20290242865973745,100024,Renters,41752,575.99,Monthly,2022-04-15,8,2030-04-13,500024,Theft,2016-07-14,2016-07-20,6,0,1024,2164,0.1368028575464284,7356.85,Medium,0,0
25,61,Male,Single,137739,West,0.495608964857967,100025,Home,970053,9406.38,Yearly,2022-11-12,7,2029-11-10,500025,Liability,2017-05-25,2017-06-18,24,1,1052,2261,0.7039890275161641,95572.05,High,0,0
26,47,Male,Single,48706,South,0.747132218839714,100026,Auto,90728,1237.21,Monthly,2021-02-10,7,2028-02-09,500026,Liability,2021-01-12,2021-01-28,16,1,1004,2299,0.6245127589273402,32990.61,High,0,0
27,55,Female,Single,170934,West,0.36622134092144487,100027,Life,171007,3133.21,Yearly,2019-09-15,6,2025-09-13,500027,Critical Illness,2019-05-05,2019-05-16,11,1,1022,2248,0.0,12591.44,Medium,0,1
28,19,Male,Married,40219,Northeast,0.4582823183563925,100028,Renters,60675,1114.0,Quarterly,2017-06-21,1,2018-06-21,500028,Fire,2022-06-02,2022-06-27,25,1,1088,2272,0.17381263852131668,20706.81,Medium,0,1
29,77,Female,Married,119017,Northeast,0.7429713476403745,100029,Auto,140813,2364.36,Quarterly,2020-01-14,6,2026-01-12,500029,Collision,2016-01-22,2016-02-07,16,0,1077,2106,0.9519518566434547,46634.25,High,0,0
30,38,Female,Divorced,64536,Midwest,0.3881821027756409,100030,Auto,125605,2163.02,Yearly,2021-08-10,7,2028-08-08,500030,Collision,2021-01-30,2021-02-22,23,0,1032,2139,0.7203629211616922,48122.44,High,0,0
31,50,Female,Divorced,101632,West,0.21598613594050897,100031,Home,582400,7347.38,Monthly,2018-02-13,2,2020-02-13,500031,Liability,2019-10-20,2019-10-27,7,0,1056,2159,0.2569997157145901,123111.56,High,0,0
32,29,Male,Single,138798,West,0.2267737051684548,100032,Renters,55200,995.02,Monthly,2015-01-27,3,2018-01-26,500032,Theft,2018-08-25,2018-08-27,2,1,1088,2242,0.8253887342995072,20915.85,Medium,0,0
33,75,Female,Divorced,63937,West,0.4756047682919372,100033,Auto,124714,1497.32,Monthly,2016-10-15,7,2023-10-14,500033,Liability,2022-07-10,2022-08-06,27,2,1079,2284,0.7926477262421868,4671.15,Low,0,0
34,39,Female,Married,51094,South,0.5478427255986996,100034,Auto,23434,190.4,Monthly,2022-10-30,7,2029-10-28,500034,Liability,2022-05-05,2022-05-23,18,0,1033,2289,0.9377787409234472,10536.53,Medium,0,0
35,78,Male,Divorced,155312,Northeast,0.7581064187929847,100035,Renters,33712,622.64,Yearly,2019-09-28,1,2020-09-27,500035,Fire,2021-12-24,2022-01-19,26,1,1029,2285,0.8294345710621004,15548.69,Medium,0,0
36,61,Female,Married,134894,West,0.3793156242133694,100036,Life,891810,10606.54,Yearly,2018-10-25,2,2020-10-24,500036,Disability,2022-09-05,2022-09-09,4,1,1014,2089,0.0,134619.68,High,0,0
37,42,Male,Divorced,147118,Midwest,0.12087202124185842,100037,Renters,124699,1747.25,Quarterly,2018-02-12,9,2027-02-10,500037,Fire,2018-08-15,2018-08-24,9,0,1089,2042,0.8457810354574576,54243.45,High,0,0
38,66,Female,Widowed,188996,Northeast,0.6361126289359669,100038,Renters,72902,1049.6,Yearly,2016-09-28,7,2023-09-27,500038,Fire,2019-12-05,2019-12-20,15,1,1090,2008,0.7897721810904567,12973.71,Medium,0,0
39,44,Male,Married,113325,Midwest,0.11830792384306565,100039,Renters,116456,725.99,Quarterly,2017-05-31,3,2020-05-30,500039,Theft,2019-05-10,2019-06-03,24,0,1084,2299,0.520154520529643,3016.76,Low,0,0
40,76,Female,Widowed,161195,Northeast,0.5800111036515099,100040,Auto,64687,666.91,Yearly,2018-10-10,7,2025-10-08,500040,Comprehensive,2019-03-11,2019-03-21,10,2,1073,2184,0.8355232149384748,11163.62,Medium,0,0
41,59,Female,Married,101445,Midwest,0.5138261197643268,100041,Renters,45140,468.64,Yearly,2016-02-23,8,2024-02-21,500041,Theft,2022-06-04,2022-06-22,18,1,1070,2002,0.8134099977181466,5060.75,Medium,0,0
42,45,Female,Divorced,61854,West,0.42445738120963244,100042,Auto,89722,1413.2,Yearly,2016-01-15,8,2024-01-13,500042,Comprehensive,2017-07-27,2017-08-23,27,0,1007,2051,0.19017473731648937,4124.68,Low,0,0
43,77,Female,Widowed,90796,West,0.8018718417823327,100043,Auto,130056,1971.45,Quarterly,2019-04-06,2,2021-04-05,500043,Comprehensive,2020-03-26,2020-04-09,14,1,1038,2058,0.8628446480327813,28745.82,High,0,0
44,33,Female,Divorced,99432,Midwest,0.2767089693037566,100044,Renters,78116,1549.34,Quarterly,2016-02-01,4,2020-01-31,500044,Liability,2021-10-29,2021-11-03,5,0,1095,2026,0.8258418285400011,26071.43,High,0,0
45,32,Male,Married,47111,South,0.6324873051150146,100045,Home,592637,9461.95,Yearly,2019-01-10,9,2028-01-08,500045,Fire,2018-10-11,2018-11-02,22,1,1057,2095,0.8981910294826382,280925.59,High,0,1
46,79,Male,Widowed,102575,Midwest,0.818772000416339,100046,Home,510071,4254.45,Yearly,2018-11-09,5,2023-11-08,500046,Liability,2017-03-07,2017-03-16,9,0,1087,2217,0.29676885423818067,258810.67,High,0,0
47,79,Female,Single,140380,Northeast,0.6441435146244907,100047,Home,961535,9794.28,Monthly,2021-10-08,9,2030-10-06,500047,Theft,2019-09-04,2019-09-18,14,1,1021,2128,0.7257329650205292,535317.17,High,0,0
48,64,Female,Divorced,54099,Midwest,0.7220792146150141,100048,Auto,144857,1087.28,Quarterly,2017-12-19,5,2022-12-18,500048,Comprehensive,2021-10-16,2021-11-13,28,0,1002,2129,0.71358236979446,58249.4,High,0,0
49,79,Female,Married,138871,Midwest,0.5143103860503775,100049,Auto,45484,815.53,Quarterly,2015-06-27,1,2016-06-26,500049,Comprehensive,2022-07-13,2022-07-30,17,0,1049,2150,0.601472503776676,12810.17,Medium,1,0
50,68,Male,Widowed,45029,Northeast,0.6954809616985186,100050,Life,358372,6338.98,Yearly,2020-02-25,5,2025-02-23,500050,Critical Illness,2018-02-27,2018-03-08,9,0,1019,2020,0.0,85020.46,High,1,1
51,61,Male,Divorced,192883,West,0.4430570407835741,100051,Home,363829,6804.99,Quarterly,2021-01-05,4,2025-01-04,500051,Fire,2020-01-19,2020-01-31,12,0,1031,2071,0.2561156420827002,69111.96,High,1,0
52,72,Female,Widowed,45793,Northeast,0.9755223604094669,100052,Renters,48721,725.76,Yearly,2016-05-26,1,2017-05-26,500052,Fire,2021-02-03,2021-03-04,29,1,1099,2031,0.290020766927371,25556.22,High,0,0
53,69,Male,Divorced,78106,Midwest,0.36869187600832465,100053,Life,639631,5777.75,Monthly,2019-03-31,4,2023-03-30,500053,Death,2017-02-05,2017-02-25,20,2,1029,2296,0.0,193231.81,High,0,0
54,74,Female,Divorced,115662,Northeast,0.6653528610996269,100054,Life,854544,15766.48,Yearly,2015-11-19,3,2018-11-18,500054,Death,2017-08-23,2017-09-10,18,1,1004,2048,0.0,114065.23,High,0,1
55,20,Female,Divorced,162044,Midwest,0.0,100055,Auto,135580,1232.5,Yearly,2021-03-11,7,2028-03-09,500055,Collision,2020-10-09,2020-11-03,25,2,1067,2142,0.24568803976848153,37758.38,High,0,0
56,54,Female,Widowed,161432,West,0.3869041077142837,100056,Renters,45143,485.79,Monthly,2018-04-15,9,2027-04-13,500056,Liability,2020-08-14,2020-09-02,19,1,1027,2081,0.2973653210615139,10863.25,Medium,0,0
57,68,Male,Widowed,163704,Midwest,0.3476371009815816,100057,Auto,116403,620.21,Yearly,2022-01-18,2,2024-01-18,500057,Liability,2016-12-01,2016-12-11,10,0,1008,2277,0.7185667315589134,29385.87,High,0,1
58,24,Female,Divorced,197030,Midwest,0.33393859596188413,100058,Home,359462,4913.85,Quarterly,2021-12-08,4,2025-12-07,500058,Theft,2017-01-12,2017-01-16,4,1,1032,2265,0.33229553914670085,85410.89,High,0,0
59,38,Female,Single,110882,West,0.26826029341683455,100059,Home,694481,8009.83,Yearly,2019-01-21,8,2027-01-19,500059,Liability,2016-09-11,2016-09-16,5,0,1067,2107,0.5930832764078703,141616.29,High,0,0
60,26,Female,Single,143858,Northeast,0.318808274215578,100060,Renters,53395,785.89,Quarterly,2021-06-22,9,2030-06-20,500060,Theft,2020-10-06,2020-10-30,24,3,1038,2051,0.4681319463988287,24574.61,Medium,0,0
61,56,Male,Single,179080,South,0.5191403804415584,100061,Life,253525,4948.59,Monthly,2017-02-26,5,2022-02-25,500061,Death,2017-06-16,2017-07-08,22,0,1097,2282,0.0,22525.77,Medium,0,0
62,35,Male,Married,107656,South,0.08219606983218015,100062,Renters,65015,380.94,Quarterly,2022-11-25,8,2030-11-23,500062,Fire,2021-05-04,2021-05-25,21,4,1097,2129,0.4332181696065345,2591.46,Low,0,1
63,21,Male,Single,191355,Midwest,0.0,100063,Auto,111697,711.76,Yearly,2015-10-12,6,2021-10-10,500063,Comprehensive,2018-05-29,2018-06-16,18,0,1056,2158,0.9478258739229273,3925.7,Low,0,0
64,42,Female,Widowed,80908,Midwest,0.3568238331113729,100064,Auto,97929,1318.3,Monthly,2015-07-07,2,2017-07-06,500064,Collision,2021-01-01,2021-01-18,17,0,1015,2047,0.6214959276487676,14470.86,Medium,0,0
65,77,Male,Single,168890,West,0.6340623950763117,100065,Life,999723,19962.87,Monthly,2022-06-01,7,2029-05-30,500065,Disability,2016-11-15,2016-12-13,28,1,1031,2188,0.0,471760.21,High,0,1
66,31,Female,Widowed,60579,Northeast,0.09981979821131365,100066,Auto,70515,657.19,Quarterly,2017-07-22,2,2019-07-22,500066,Collision,2020-02-21,2020-03-10,18,0,1050,2060,0.3558533284649863,18979.51,Medium,0,0
67,67,Male,Married,85178,South,0.8485442150340493,100067,Auto,38714,505.09,Quarterly,2018-03-31,7,2025-03-29,500067,Collision,2021-11-25,2021-12-17,22,1,1059,2230,0.4415213896350816,12865.46,Medium,0,0
68,75,Female,Widowed,143204,South,0.5814922459280526,100068,Renters,140849,1134.64,Quarterly,2015-11-23,7,2022-11-21,500068,Theft,2020-07-07,2020-07-29,22,0,1021,2068,0.3273954395175772,12288.48,Medium,0,0
69,26,Male,Widowed,125373,West,0.0,100069,Home,539874,6989.22,Monthly,2017-08-11,1,2018-08-11,500069,Water Damage,2022-08-06,2022-08-20,14,0,1001,2284,0.4585679285645735,35506.09,High,0,0
70,43,Female,Widowed,162047,West,0.5360367281432271,100070,Renters,24067,186.53,Quarterly,2016-02-18,9,2025-02-15,500070,Fire,2022-04-08,2022-04-10,2,0,1007,2132,0.18344431755826296,5290.92,Medium,0,0
71,70,Male,Single,46265,South,0.893145545283289,100071,Renters,80768,618.42,Yearly,2019-04-06,9,2028-04-03,500071,Fire,2021-10-26,2021-11-17,22,1,1087,2138,0.25708504803433674,15406.58,Medium,0,0
72,19,Male,Divorced,93518,Northeast,0.1771485955140438,100072,Life,740824,7467.71,Monthly,2018-02-12,6,2024-02-11,500072,Critical Illness,2020-06-05,2020-06-05,0,4,1077,2004,0.0,142409.23,High,0,1
73,37,Male,Widowed,165390,Northeast,0.2562846993901413,100073,Life,920538,17577.02,Yearly,2020-02-01,7,2027-01-30,500073,Critical Illness,2018-12-16,2018-12-30,14,1,1027,2276,0.0,133048.11,High,0,1
74,45,Female,Single,150611,Northeast,0.15147837029799638,100074,Life,499261,7434.83,Quarterly,2022-02-16,3,2025-02-15,500074,Death,2022-07-21,2022-08-08,18,1,1067,2222,0.0,125107.79,High,0,0
75,64,Male,Single,196153,Midwest,0.871915016713926,100075,Home,108380,1146.13,Quarterly,2019-02-03,8,2027-02-01,500075,Liability,2021-08-05,2021-09-02,28,2,1097,2038,0.6467787488130458,41610.11,High,1,0
76,77,Male,Single,145475,Northeast,0.4813608025509511,100076,Renters,125870,1835.2,Quarterly,2016-10-28,3,2019-10-28,500076,Fire,2020-09-30,2020-10-14,14,0,1090,2073,0.9162848147484935,26931.57,High,0,0
77,24,Male,Divorced,134968,Midwest,0.0,100077,Renters,32109,256.63,Quarterly,2019-02-25,6,2025-02-23,500077,Fire,2020-12-07,2020-12-26,19,0,1033,2094,0.5729667197048047,9250.56,Medium,0,0
78,61,Male,Divorced,141686,Midwest,0.43009872775368396,100078,Auto,119746,1743.74,Monthly,2018-12-26,8,2026-12-24,500078,Collision,2021-06-28,2021-07-15,17,3,1004,2124,0.4716632246715008,16060.33,Medium,0,0
79,78,Female,Divorced,106377,West,0.5147854974781778,100079,Renters,108243,2035.37,Yearly,2017-05-08,2,2019-05-08,500079,Fire,2020-09-03,2020-09-08,5,0,1057,2039,0.14652534854597554,47455.25,High,0,0
80,25,Male,Divorced,121671,Midwest,0.43324778121999663,100080,Life,361674,6891.38,Quarterly,2022-07-08,8,2030-07-06,500080,Critical Illness,2017-10-29,2017-11-23,25,1,1012,2244,0.0,90020.67,High,0,0
81,64,Female,Married,173499,Midwest,0.5347334184920075,100081,Life,258439,3565.73,Quarterly,2017-12-29,5,2022-12-28,500081,Critical Illness,2017-08-14,2017-08-31,17,3,1065,2037,0.0,48860.17,High,1,0
82,52,Female,Divorced,132263,West,0.1892968722807321,100082,Renters,78590,1429.86,Monthly,2022-11-14,5,2027-11-13,500082,Fire,2021-09-02,2021-09-23,21,1,1037,2163,0.293375055613341,7473.71,Medium,1,1
83,31,Female,Divorced,186237,Northeast,0.014411958124020241,100083,Renters,66962,723.83,Quarterly,2022-08-31,8,2030-08-29,500083,Theft,2017-06-04,2017-06-06,2,0,1050,2065,0.06028375231364391,829.71,Low,0,0
84,34,Female,Divorced,151359,Northeast,0.0490368190338976,100084,Renters,89622,1638.63,Monthly,2022-04-08,2,2024-04-07,500084,Fire,2021-06-08,2021-06-25,17,2,1016,2222,0.5736930032240307,1920.41,Low,0,0
85,53,Male,Widowed,128844,South,0.2163571193925964,100085,Renters,146513,1466.97,Yearly,2015-10-20,3,2018-10-19,500085,Fire,2021-02-17,2021-02-18,1,2,1086,2012,0.326692814688771,14751.39,Medium,0,0
86,67,Female,Widowed,94927,South,0.3743970401211742,100086,Auto,94590,1470.6,Yearly,2021-10-31,9,2030-10-29,500086,Liability,2017-06-13,2017-06-21,8,0,1093,2247,0.20133776303174045,22008.42,Medium,0,0
87,57,Female,Divorced,103170,Midwest,0.3753344377666995,100087,Life,110202,2070.0,Monthly,2022-02-13,9,2031-02-11,500087,Death,2021-10-03,2021-10-23,20,1,1091,2156,0.0,10491.89,Medium,0,0
88,21,Female,Married,106150,South,0.47302317016123213,100088,Auto,64269,866.04,Yearly,2016-12-01,9,2025-11-29,500088,Collision,2021-12-07,2021-12-17,10,0,1058,2084,0.028523972788438212,11741.35,Medium,0,0
89,19,Female,Widowed,54866,West,0.0,100089,Life,306971,2799.19,Quarterly,2020-12-27,3,2023-12-27,500089,Disability,2017-04-28,2017-05-10,12,0,1078,2148,0.0,31212.73,High,0,0
90,79,Male,Single,40282,South,0.6419618881691114,100090,Life,959193,14837.77,Yearly,2017-09-29,1,2018-09-29,500090,Death,2018-05-20,2018-06-18,29,1,1087,2194,0.0,165862.95,High,0,0
91,23,Male,Widowed,181391,South,0.47325976732219155,100091,Home,458147,3065.65,Monthly,2016-10-31,7,2023-10-30,500091,Fire,2021-02-08,2021-02-19,11,1,1031,2096,0.7767903313380131,202475.73,High,0,0
92,71,Female,Single,197798,Midwest,0.5661989552063484,100092,Life,568570,5791.63,Yearly,2020-03-08,1,2021-03-08,500092,Death,2021-04-22,2021-04-30,8,0,1001,2124,0.0,46623.64,High,0,1
93,59,Female,Widowed,45412,West,0.8262763759504177,100093,Life,679655,12531.61,Yearly,2019-04-04,6,2025-04-02,500093,Death,2016-05-13,2016-05-24,11,2,1048,2015,0.0,323040.32,High,1,0
94,21,Female,Divorced,154135,South,0.06960922621313337,100094,Renters,148187,2379.17,Yearly,2018-01-10,3,2021-01-09,500094,Liability,2017-10-04,2017-10-09,5,0,1013,2085,0.8888796777121466,55793.46,High,0,0
95,71,Male,Widowed,150019,Northeast,0.6463970020007248,100095,Renters,69774,406.06,Monthly,2022-03-06,3,2025-03-05,500095,Fire,2022-04-08,2022-04-16,8,0,1092,2266,0.18203541404881163,26805.43,High,0,0
96,46,Male,Divorced,54583,West,0.15276790492309988,100096,Auto,97597,1327.98,Yearly,2022-09-19,7,2029-09-17,500096,Comprehensive,2020-02-21,2020-03-03,11,1,1070,2209,0.5853420824120206,36725.45,High,0,0
97,35,Male,Divorced,91922,West,0.26176219682351004,100097,Home,403906,3523.34,Yearly,2021-03-31,1,2022-03-31,500097,Water Damage,2017-05-01,2017-05-17,16,1,1092,2139,0.2208415846714772,144772.33,High,0,0
98,43,Male,Widowed,36185,Midwest,0.5050823418395558,100098,Life,246074,1280.3,Quarterly,2017-06-18,8,2025-06-16,500098,Disability,2022-09-30,2022-10-26,26,0,1058,2117,0.0,7694.51,Medium,0,0
99,61,Male,Single,116348,West,0.4771365821930581,100099,Life,468326,4219.78,Yearly,2022-09-05,9,2031-09-03,500099,Disability,2020-07-31,2020-08-09,9,0,1005,2165,0.0,150882.35,High,1,0
100,51,Female,Single,121368,West,0.45483545284557375,100100,Renters,101155,1680.16,Quarterly,2018-08-21,6,2024-08-19,500100,Fire,2017-03-27,2017-04-13,17,0,1035,2022,0.598349784081419,32224.88,High,0,0
101,27,Male,Widowed,47423,West,0.6672867726620109,100101,Auto,109042,1203.34,Yearly,2015-08-18,8,2023-08-16,500101,Liability,2017-05-10,2017-06-08,29,1,1046,2269,0.08908684463051131,21039.95,Medium,0,0
102,79,Male,Divorced,81268,West,1.0,100102,Auto,32248,289.84,Yearly,2017-07-27,6,2023-07-26,500102,Collision,2020-02-22,2020-03-02,9,1,1015,2045,0.024989056099565476,816.71,Low,1,0
103,53,Female,Single,142692,West,0.2769540237250815,100103,Renters,104484,2087.99,Monthly,2015-05-12,4,2019-05-11,500103,Liability,2022-05-30,2022-06-22,23,1,1028,2276,0.4878130534876499,33407.75,High,0,0
104,31,Male,Married,197858,West,0.11070077452600338,100104,Renters,118691,1620.65,Quarterly,2018-07-16,1,2019-07-16,500104,Liability,2019-04-01,2019-04-17,16,4,1058,2293,0.3733961089895109,36383.32,High,0,0
105,48,Male,Divorced,125201,West,0.3124970055738546,100105,Life,515853,4296.77,Quarterly,2019-07-02,4,2023-07-01,500105,Death,2016-06-13,2016-06-22,9,2,1091,2095,0.0,103355.82,High,0,0
106,65,Male,Widowed,113744,Northeast,0.426647259705756,100106,Home,826172,6645.39,Yearly,2018-01-01,7,2024-12-30,500106,Fire,2021-11-11,2021-12-08,27,1,1078,2078,0.2452002200671609,51399.87,High,0,0
107,32,Female,Divorced,148222,West,0.18489140490597483,100107,Auto,54422,356.43,Quarterly,2015-09-29,2,2017-09-28,500107,Liability,2017-09-19,2017-09-26,7,0,1006,2103,0.4033910326493858,10956.39,Medium,0,0
108,25,Male,Married,118590,Midwest,0.6596854328890339,100108,Auto,26706,378.58,Monthly,2017-05-14,8,2025-05-12,500108,Liability,2017-04-27,2017-05-15,18,2,1017,2048,0.7323068969724277,5902.38,Medium,0,0
109,31,Female,Married,191549,Northeast,0.23394500668674875,100109,Renters,47109,856.89,Yearly,2021-05-12,9,2030-05-10,500109,Theft,2020-03-01,2020-03-15,14,1,1029,2094,0.4390569957966579,12854.89,Medium,0,0
110,40,Female,Single,152942,West,0.22298391742317866,100110,Renters,70087,1254.49,Yearly,2018-07-12,1,2019-07-12,500110,Theft,2019-06-02,2019-06-23,21,0,1053,2246,0.235735248397422,5201.84,Medium,0,0
111,77,Male,Married,164643,South,0.7311689336877663,100111,Auto,77396,1478.14,Quarterly,2017-05-20,8,2025-05-18,500111,Liability,2020-03-13,2020-03-23,10,1,1021,2252,0.16291826623312877,19107.08,Medium,0,0
112,74,Male,Divorced,49576,Midwest,1.0,100112,Home,177499,948.96,Yearly,2022-05-08,3,2025-05-07,500112,Fire,2019-05-27,2019-06-07,11,3,1015,2244,0.2840122517322118,65542.76,High,0,0
113,79,Male,Single,149641,Northeast,0.6083721723454093,100113,Life,145168,1948.11,Monthly,2020-08-06,4,2024-08-05,500113,Critical Illness,2019-04-19,2019-05-01,12,2,1034,2260,0.0,33086.75,High,0,0
114,57,Male,Married,170752,Midwest,0.3784480702952465,100114,Life,567265,10638.04,Yearly,2019-06-09,6,2025-06-07,500114,Disability,2021-06-13,2021-06-24,11,1,1090,2084,0.0,179515.82,High,0,0
115,38,Female,Single,186778,Northeast,0.3145562986504844,100115,Auto,91649,1695.92,Yearly,2022-03-18,5,2027-03-17,500115,Liability,2016-04-24,2016-05-07,13,4,1001,2020,0.2775909709791846,11485.09,Medium,0,0
116,33,Male,Single,145042,South,0.27092865875198713,100116,Home,512503,4645.67,Quarterly,2020-02-23,4,2024-02-22,500116,Theft,2017-08-08,2017-08-23,15,0,1030,2264,0.31954636469743836,22182.8,Medium,0,1
117,62,Female,Widowed,163846,Midwest,0.5120232526550794,100117,Life,455930,5712.43,Yearly,2016-08-08,6,2022-08-07,500117,Death,2017-08-05,2017-09-03,29,1,1027,2183,0.0,87167.89,High,0,0
118,35,Female,Single,178044,Midwest,0.03103992229648006,100118,Life,779986,5022.34,Yearly,2017-12-20,7,2024-12-18,500118,Critical Illness,2022-08-12,2022-08-13,1,1,1029,2245,0.0,224290.67,High,0,0
119,64,Female,Single,175120,Northeast,0.503282777430698,100119,Home,667538,6083.22,Yearly,2016-07-25,9,2025-07-23,500119,Liability,2020-09-23,2020-10-01,8,2,1036,2266,0.6337217027051099,217286.21,High,0,0
120,70,Female,Married,128908,Northeast,0.44998395678561653,100120,Home,952319,18931.85,Quarterly,2017-10-07,9,2026-10-05,500120,Liability,2016-07-18,2016-07-31,13,3,1048,2163,0.37508691753100465,212093.82,High,0,1
